Time;Frequency (Hz)1;Frequency (Hz)2;Frequency (Hz)3;Frequency (Hz)4;Frequency (Hz)5;Temp. sample ( C);Temp. (2e reading) ( C)
23.725;12422.1;60.465;;;;22;22
12.119;12423.7;61.5038;;;;22;22
72.037;12422.5;62.319;2265.41;;;22;22
132.078;12416.3;67.1397;;;;22;22
192.149;12410.4;;;;;22;22
252.227;12408.9;59.8059;;;;24;24
312.281;12406.8;63.2495;;;;27;27
372.428;12406;64.2977;;;;29;29
432.373;12409.9;64.0555;;;;29;29
492.423;12416.7;63.4788;;;;29;29
552.446;12414.3;62.7797;2267.18;;;29;29
612.465;12406;66.9335;;;;31;31
672.681;12408.1;62.7042;;;;33;33
732.711;12405.7;66.831;;;;34;34
792.755;12401.7;65.2145;;;;34;34
852.788;12406.7;68.0336;;;;35;35
912.765;12398.5;69.3104;;;;38;38
972.816;12384.7;67.1114;;;;47;47
1032.884;12381.3;65.92;;;;55;55
1092.9821;12388;65.6393;;;;60;60
1153.025;12388.9;65.6553;;;;62;62
1213.062;12383.9;64.8808;;;;66;66
1273.046;12368.5;62.8141;;;;73;73
1333.098;12365.3;62.2596;;;;80;80
1393.3051;12370.5;65.4222;1606.53;;;84;84
1453.1899;12366.9;65.1264;;;;87;87
1513.334;12355.5;64.0195;;;;93;93
1573.351;12345.7;63.8858;;;;98;98
1633.374;12344;65.5531;;;;104;104
1693.421;12338.7;65.6755;;;;108;108
1753.446;12333.5;63.3192;;;;113;113
1813.473;12329.8;65.2952;;;;118;118
1873.687;12330;64.0069;;;;123;123
1933.7321;12322.2;64.8992;;;;129;129
1993.746;12316.2;65.3761;;;;134;134
2053.769;12302.3;;;;;138;138
2113.7981;12297.1;65.287;;;;143;143
2173.822;12294.7;68.3818;;;;148;148
2234.0549;12288.7;69.0728;;;;153;153
2294.105;12283;69.2918;;;;159;159
2353.9729;12276.7;69.6008;;;;164;164
2414.1699;12272.9;69.9235;;;;169;169
2474.1699;12266.2;70.4368;;;;173;173
2534.1169;12261.6;73.6888;;;;179;179
2594.2629;12255.1;70.357;;;;183;183
2654.2319;12247.8;71.1558;;;;188;188
2714.4399;12239.3;74.3342;;;;193;193
2774.436;12232.2;72.5291;;;;199;199
2834.542;12222.3;66.6965;;;;203;203
2894.5061;12215.2;66.6275;;;;209;209
2954.5339;12207.9;68.203;;;;213;213
3014.6599;12200.1;67.7275;;;;219;219
3074.6331;12196.4;66.0942;;;;224;224
3134.627;12184.3;68.3268;;;;229;229
3194.821;12180.5;76.3527;;;;234;234
3254.8191;12173.1;68.2973;;;;238;238
3314.8469;12158.4;67.0269;;;;244;244
3374.926;12152.8;65.8327;;;;249;249
3434.8589;12143.4;71.0295;;;;254;254
3494.9089;12136.8;71.0636;;;;259;259
3555.0681;12126.1;71.4256;;;;264;264
3615.0801;12112.4;73.9643;;;;269;269
3675.075;12105.5;69.6868;9218.71;;;274;274
3735.115;12085.9;;;;;279;279
3795.3159;12079;73.8063;9117.42;;;284;284
3855.3159;12058.2;87.2264;;;;289;289
3915.3669;12044.3;297.218;;;;294;294
3975.3521;12027.8;;;;;299;299
4035.491;12010.5;;;;;304;304
4095.5149;11991.2;84.0896;;;;309;309
4155.5068;11970.7;;;;;314;314
4215.5381;11957.5;87.5533;;;;319;319
4275.624;11945.3;89.1107;9168.21;;;324;324
4335.689;11935.5;78.931;;;;329;329
4395.709;11925.7;79.861;;;;334;334
4455.875;11918.1;80.6551;;;;339;339
4515.8921;11910.7;;;;;344;344
4575.9258;11896.8;82.365;;;;349;349
4635.9741;11882.7;81.9502;;;;354;354
4696.0112;11866.7;80.0593;;;;359;359
4756.0112;11849.3;81.0849;;;;364;364
4816.0669;11829.3;81.1888;;;;369;369
4876.0708;11806;81.1291;6838.77;;;374;374
4936.1211;11782.2;80.728;;;;379;379
4996.1792;11754.1;81.571;;;;384;384
5056.354;11718.3;81.9734;6597.51;;;389;389
5116.3862;11682.2;83.1536;6875.02;;;394;394
5176.4048;11657.5;82.7072;6772.73;;;399;399
5236.4458;11628;84.1415;;;;404;404
5296.4961;11610.6;85.0712;6857.64;;;409;409
5356.5161;11596.7;86.3137;6817.49;;;414;414
5416.6938;11581.3;;;;;419;419
5476.7139;11575.6;90.2958;;;;424;424
5536.7759;11571;85.7897;;;;429;429
5596.8149;11567.1;85.0098;;;;434;434
5656.7212;11562.9;87.2974;6966.2;;;439;439
5716.7612;11561.7;73.5764;6906.41;;;444;444
5776.8452;11549.1;;;;;449;449
5837.042;11545.7;;;;;454;454
5896.9619;11538.7;88.9765;;;;459;459
5956.9658;11529.3;;;;;464;464
6017.1968;11521.6;;;;;469;469
6077.2061;11515.5;;;;;474;474
6137.2319;11503.3;;;;;479;479
6197.2788;11477.6;;;;;484;484
6257.2578;11407.1;87.7477;11620.2;;;489;489
6317.4429;11233.6;85.4442;;;;494;494
6377.3779;10946.2;;;;;499;499
6437.501;11184.1;10987.8;93.7254;11668.5;;504;504
6497.5088;11031.1;11039.6;97.2686;;;509;509
6557.4741;11072.7;99.1766;11780.8;;;514;514
6617.542;11094.5;91.9445;;;;519;519
6677.6182;11103.6;92.0672;;;;524;524
6737.8032;11113.3;111.517;;;;529;529
6797.8398;11112;86.0675;;;;534;534
6857.8149;11121.5;92.1087;;;;539;539
6917.874;11116.2;90.0226;7120.76;;;544;544
6977.8789;11124.2;94.2404;7262.93;;;549;549
7037.9019;11125.3;88.421;7244.06;;;554;554
7097.9668;11129.7;;;;;559;559
7158.126;11132.2;271.297;;;;564;564
7218.2031;11143.6;104.361;7186.93;;;569;569
7278.209;11151.7;10321.9;;;;574;574
7338.2002;11143.5;10393.4;;;;579;579
7398.2432;11116.2;11131.9;10348.7;;;584;584
7458.3809;11050.3;11073.1;73.9244;;;589;589
7518.4321;10890.3;11455.6;89.2502;;;594;594
7578.332;10748;99.5928;;;;599;599
7638.5508;10677.5;104.389;;;;604;604
7698.4609;10727.3;10722.6;;;;609;609
7758.5562;10709.5;;;;;614;614
7818.6089;10648.3;110.88;;;;619;619
7878.5928;10657.7;103.084;;;;624;624
7938.7739;10659.1;;;;;629;629
7998.7988;10755.8;90.7079;9128.42;;;634;634
8058.7651;10669.5;92.6629;9102.61;;;639;639
8118.7759;10669.3;92.4895;9079.22;;;644;644
8179;10674.9;92.6453;9085.74;;;649;649
8238.8838;10693.3;;;;;654;654
8299.0439;10681.2;92.9381;;;;659;659
8359.0723;10693;89.833;;;;664;664
8419.0449;10685;;;;;669;669
8479.0801;10694.8;90.967;;;;674;674
8539.2637;10696.6;92.1787;9109.58;;;679;679
8599.332;10695.9;96.9018;;;;684;684
8659.3379;10697.8;106.914;;;;689;689
8719.3398;10701.1;102.313;;;;694;694
8779.333;10702.5;100.889;;;;699;699
8839.5371;10704;108.881;;;;704;704
8899.5693;10705.5;108.175;;;;709;709
8959.5449;10706.7;109.34;;;;714;714
9019.5469;10708.3;105.973;;;;719;719
9079.6553;10709;103.757;;;;724;724
9139.7461;10709.3;102.591;;;;729;729
9199.7539;10707.4;110.87;;;;734;734
9259.7803;10706;104.28;;;;739;739
9319.9561;10701.3;106.811;;;;744;744
9379.8428;10703.8;109.388;;;;749;749
9439.9629;10697.2;105.949;;;;754;754
9499.9951;10693.7;106.96;8512.08;;;759;759
9560.0186;10689.2;106.287;;;;764;764
9620.0078;10700.5;82.7239;;;;769;769
9680.1914;10696.2;;;;;774;774
9740.2422;10691.9;;;;;779;779
9800.2715;10672.6;107.345;;;;784;784
9860.2363;10670.1;107.302;;;;789;789
9920.2627;10678.7;;;;;794;794
9980.4932;10660.6;99.116;;;;799;799
10040.4951;10668.3;107.823;;;;804;804
10100.5166;10672.3;;;;;809;809
10160.5908;10667.6;100.449;;;;814;814
10220.7187;10673.6;102.336;;;;819;819
10280.7764;10677.1;103.228;;;;824;824
10340.8135;10667.5;118.668;;;;829;829
10400.876;10665.5;;;;;834;834
10460.8779;10688.8;109.72;;;;839;839
10520.8623;10680.1;112.217;;;;844;844
10580.9209;10685.7;112.331;;;;849;849
10640.9189;10672.8;;;;;854;854
10701.0957;10694.9;126.021;;;;859;859
10761.1611;10700.6;127.211;;;;864;864
10821.1797;10705.8;118.293;;;;869;869
10881.1602;10692.9;;;;;874;874
10941.1709;10734.5;115.862;;;;879;879
11001.3369;10704.7;;;;;884;884
11061.2988;10735.3;122.764;;;;889;889
11121.3477;10744;123.232;;;;894;894
11181.3838;10764.4;125.217;;;;899;899
11241.5771;10774.4;126.415;;;;904;904
11301.6064;10785.5;137.199;133.553;;;909;909
11361.6406;10782.5;9046.97;140.212;;;914;914
11421.7383;10807;;;;;920;920
11481.6709;10821.7;141.49;;;;924;924
11541.6816;10820.7;;;;;929;929
11601.8867;10834.3;;;;;934;934
11661.8848;10856.9;136.542;;;;939;939
11721.8887;10882.3;146.482;;;;944;944
11781.875;10885.4;136.138;;;;949;949
11842.0615;10897.4;137.679;;;;955;955
11902.0791;10929.9;8858.48;;;;959;959
11962.0801;10939.6;127.195;;;;964;964
12022.0693;10966.4;8884.17;;;;969;969
12082.2764;10984.3;73.4352;;;;974;974
12142.3291;10992.6;107.904;;;;979;979
12202.3027;11028.7;66.4614;;;;984;984
12262.2871;11047.8;67.4863;;;;990;990
12322.4551;11070.7;65.9709;;;;995;995
12382.501;11087.4;79.1912;;;;1000;1000
12442.4687;11113.9;66.6544;;;;1004;1004
12502.543;11134.8;68.7653;;;;1010;1010
12562.6143;11156.2;76.55;;;;1014;1014
12622.6816;11179.9;64.4643;;;;1020;1020
12682.6582;11206.4;74.2861;8874.47;;;1025;1025
12742.6982;11227.2;;;;;1030;1030
12802.79;11254.7;;;;;1034;1034
12862.916;11273.4;75.8669;8906.93;;;1039;1039
12922.9473;11297.1;76.9268;;;;1044;1044
12982.9482;11320;80.2029;;;;1049;1049
13042.9717;11344.3;;;;;1055;1055
13103.168;11363;82.7163;;;;1060;1060
13163.2246;11384.1;79.795;8889.26;;;1064;1064
13223.1787;11404.4;83.022;8950.98;;;1069;1069
13283.2178;11423.7;82.1751;189.743;;;1074;1074
13343.3096;11445.1;86.5078;;;;1079;1079
13403.498;11460.7;79.2272;200.181;;;1085;1085
13463.5361;11481.7;78.7645;;;;1089;1089
13523.5303;11494;80.0083;210.029;;;1095;1095
13583.6094;11512.7;81.6221;212.996;;;1100;1100
13643.5527;11526.5;81.7649;214.445;;;1105;1105
13703.6006;11535.4;80.3604;;;;1110;1110
13763.8008;11556.6;82.1609;225.72;;;1114;1114
13823.833;11552.7;80.0745;;;;1119;1119
13883.8701;11557.5;81.209;237.403;;;1125;1125
13943.9238;11531.3;80.9267;;;;1130;1130
14003.9834;11469.5;80.8886;;;;1134;1134
14063.9365;11325.5;83.7529;;;;1139;1139
14123.9844;11112.2;84.5982;243.971;;;1145;1145
14184.0723;10784.7;82.8038;;;;1150;1150
14244.0918;10371.1;84.1214;406.271;;;1154;1154
14304.0898;9939.8;81.3068;;;;1160;1160
14364.1143;9481.08;81.9942;239.014;;;1164;1164
14424.3457;9254.36;79.8771;240.422;;;1169;1169
14484.2129;9313.71;77.937;242.714;;;1175;1175
14544.377;9789.42;81.1317;242.902;;;1180;1180
14604.4238;10689.9;79.5102;239.709;;;1185;1185
14664.4277;11235.7;77.1178;241.974;412.732;;1190;1190
14724.4365;11434.7;85.0119;244.342;;;1195;1195
14784.4775;11554.7;78.9562;241.945;;;1199;1199
14844.5244;11616.4;76.1078;242.173;;;1205;1205
14904.752;11652.1;77.0541;;;;1210;1210
14964.6191;11683;76.5295;;;;1215;1215
15024.6748;11706.3;77.3822;229.386;;;1220;1220
15084.8662;11724.1;75.479;120.514;;;1225;1225
15144.9092;11741.7;75.2801;124.848;;;1230;1230
15204.9053;11754.3;75.8977;;;;1235;1235
15264.9385;11764.9;74.1505;;;;1240;1240
15325.0986;11776;73.9681;243.218;;;1244;1244
15384.9932;11788.3;75.2809;;;;1250;1250
15445.0664;11795.8;75.2122;237.54;;;1255;1255
15505.2539;11805.1;75.2776;248.929;;;1260;1260
15565.2969;11810.2;74.9167;241.572;;;1264;1264
15625.3174;11816.5;74.1567;;;;1270;1270
15685.3584;11816.5;72.9852;253.714;;;1275;1275
15745.3867;11820.7;74.5184;;;;1280;1280
15805.3613;11827;73.7036;357.87;;;1285;1285
15865.3662;11832.1;76.7365;252.037;;;1290;1290
15925.4121;11844.4;73.921;234.617;;;1295;1295
15985.6484;11851.7;74.1219;229.079;;;1300;1300
16045.7051;11855.5;73.6518;229.984;;;1305;1305
16105.7314;11852.7;72.1268;;;;1310;1310
16165.7422;11858.4;72.7119;;;;1315;1315
16225.7959;11863.3;73.9535;236.546;;;1320;1320
16285.8203;11869.3;74.3396;230.685;;;1325;1325
16345.8809;11863.8;71.6773;;;;1330;1330
16405.8848;11864.9;71.454;;;;1335;1335
16465.9199;11872.8;74.4006;233.069;;;1340;1340
16525.9336;11881.7;74.3682;235.34;;;1345;1345
16586.1133;11876.4;76.5356;199.815;430.041;;1350;1350
16646.1621;11873.6;202.494;;;;1355;1355
16706.1758;11874.7;200.727;;;;1360;1360
16766.1816;11873.7;75.4879;202.025;;;1365;1365
16826.1875;11889;73.9817;239.662;;;1370;1370
16886.2598;11895.5;73.6061;235.204;;;1375;1375
16946.3398;11892.7;75.7454;;;;1380;1380
17006.3477;75.1221;11893.5;76.9936;;;1385;1385
17066.5527;74.2903;11906.7;234.383;;;1390;1390
17126.5566;73.7202;11902;234.855;5967.87;;1395;1395
17186.5078;75.4312;232.256;11914.6;6008.84;;1400;1400
17246.6895;73.6203;230.789;11901.2;;;1405;1405
17306.7324;73.7983;227.914;11907.3;;;1410;1410
17366.7148;75.4894;229.529;11959.1;744.55;;1415;1415
17426.8437;74.5501;228.162;11910.2;746.318;;1420;1420
17486.8867;74.7411;225.388;11828.7;796.333;;1425;1425
17546.8594;74.7043;227.694;6056.26;;;1430;1430
17606.8965;76.1986;228.458;12044.2;;;1435;1435
17667.0156;82.0084;76.6657;11993.7;749.083;;1440;1440
17727.0527;83.3643;11897.6;6022.01;;;1445;1445
17787.0645;173.334;76.6292;11780.2;;;1450;1450
17847.0391;81.9917;11720.1;826.985;;;1455;1455
17907.0762;82.4113;73.1459;11702.5;6035.56;;1460;1460
17967.1875;225.767;74.3774;11674.7;6198.32;;1465;1465
18027.248;224.979;74.878;11672.7;6126.2;;1470;1470
18087.2402;226.174;76.3392;11656.4;6180.34;;1475;1475
18147.4199;226.405;76.08;11669.2;6055.79;;1480;1480
18207.4473;77.8867;168.786;223.288;;;1485;1485
18267.4121;189.085;84.3841;11673.7;6122.55;;1490;1490
18327.6074;76.7124;178.339;166.32;311.198;;1495;1495
18387.6074;221.126;75.3805;;;;1500;1500
18447.6328;225.184;73.9222;11706.3;6159.92;;1500;1500
18507.6875;71.7245;160.981;122.165;;;1501;1501
18567.6484;169.356;184.856;121.515;;;1501;1501
18627.7754;71.9909;179.412;181.619;123.217;;1500;1500
18687.7207;73.8204;162.44;214.343;311.855;;1501;1501
18747.8848;76.8018;186.308;710.044;;;1501;1501
18807.8887;71.1655;167.36;308.103;;;1500;1500
18868.0352;72.5871;180.664;249.154;;;1500;1500
18928.0527;78.7522;173.133;329.362;;;1500;1500
18987.9922;71.777;160.516;290.165;;;1501;1501
19048.0078;71.1559;177.032;168.941;308.396;;1501;1501
19108.1797;73.3737;900.962;11771.8;;;1500;1500
19168.1641;190.261;169.207;83.0654;;;1500;1500
19228.1914;171.705;76.8116;906.6;11794.2;;1501;1501
19288.3828;221.179;74.2817;907.793;6111.61;;1500;1500
19348.377;173.637;74.9162;835.051;181.038;;1496;1496
19408.4004;162.492;92.2522;889.597;170.627;;1491;1491
19468.5527;176.68;76.7783;1378.49;912.283;;1486;1486
19528.5762;72.8185;739.569;216.682;;;1481;1481
19588.5762;176.961;76.9808;1426.62;11749.1;;1476;1476
19648.5684;157.511;89.6801;217.948;243.122;;1471;1471
19708.5645;175.723;74.6626;912.021;11757.1;;1466;1466
19768.7246;77.5342;11754.6;;;;1461;1461
19828.793;176.184;77.7771;11769.5;744.329;;1456;1456
19888.7871;175.701;79.6444;11776.1;;;1451;1451
19948.9512;175.917;78.1031;11767.7;6023.65;;1446;1446
20008.9648;173.995;79.9185;11796.9;1364.26;;1441;1441
20068.9609;153.148;109.113;734.224;;;1436;1436
20128.9355;80.122;182.25;92.9695;849.678;;1430;1430
20189.1426;83.7014;134.627;841.427;;;1425;1425
20249.1406;90.539;158.749;754.286;;;1420;1420
20309.1074;83.9699;171.524;1333.69;745.078;;1415;1415
20369.1172;145.062;103.312;176.85;101.501;;1411;1411
20429.2832;134.295;166.185;140.542;;;1405;1405
20489.293;103.568;152.857;80.771;;;1400;1400
20549.2812;168.688;79.122;178.084;;;1395;1395
20609.5039;96.28;1336.52;;;;1390;1390
20669.4727;162.286;1338.49;;;;1385;1385
20729.4297;135.908;172.34;1346.35;;;1380;1380
20789.6289;172.596;1345.13;287.828;;;1375;1375
20849.6133;86.5764;12112.6;1280.39;;;1370;1370
20909.5918;90.2367;157.243;1330.13;;;1365;1365
20969.7754;90.2155;12121.1;391.042;;;1360;1360
21029.7539;177.545;1331.94;;;;1355;1355
21089.7852;92.3659;169.95;12136.2;;;1350;1350
21149.9434;93.9425;144.817;115.785;;;1345;1345
21209.9687;273.072;920.012;;;;1340;1340
21270.0039;93.969;12154.3;397.529;;;1335;1335
21330.0918;93.3647;12158.1;764.141;;;1330;1330
21390.1367;96.0628;12165.1;403.447;;;1325;1325
21450.1289;96.7755;12171.7;399.07;;;1320;1320
21510.0801;97.3069;12187.4;581.287;;;1315;1315
21570.2793;97.2751;12185.2;417.864;909.832;;1310;1310
21630.2656;12186.9;98.6924;399.782;;;1305;1305
21690.2676;96.7362;12198.4;415.837;1361.95;;1300;1300
21750.4551;12198.1;100.333;403.76;;;1295;1295
21810.3477;12202.2;100.509;414.306;;;1290;1290
21870.4395;12209.1;99.6448;421.049;;;1285;1285
21930.4727;12214.8;101.836;423.195;786.011;;1280;1280
21990.5039;12214.4;99.2103;431.056;696.742;;1275;1275
22050.707;12223.8;106.003;1287.02;416.788;;1270;1270
22110.7168;12232;107.091;669.871;;;1265;1265
22170.7324;12234;106.39;;;;1260;1260
22230.8926;12236.2;106.726;1328.58;;;1255;1255
22290.916;12242.4;107.715;461.686;;;1250;1250
22350.9121;12244.3;108.453;;;;1245;1245
22410.8809;12245.6;107.739;825.288;;;1240;1240
22471.0605;12247.1;108.02;;;;1235;1235
22531.0723;12249;107.794;;;;1230;1230
22591.0703;12250.6;109.44;504.759;;;1225;1225
22651.2285;12253.2;109.134;498.356;;;1220;1220
22711.2832;12253.7;108.942;;;;1215;1215
22771.293;12255;111.496;471.537;;;1210;1210
22831.3242;12254.5;108.751;;;;1205;1205
22891.3477;12257.3;110.635;;;;1200;1200
